id_transacao,valor,moeda
1,1250.00,BRL
2,3500.50,BRL
3,999.99,USD
4,420.75,BRL
5,150.00,USD
6,870.30,BRL
7,2300.00,BRL
8,540.90,USD
9,1999.99,BRL
10,75.50,USD
11,600.00,BRL
12,1340.25,BRL
13,89.90,USD
14,720.00,BRL
15,4500.10,BRL
16,310.45,USD
17,280.00,BRL
18,1500.00,BRL
19,60.75,USD
20,980.00,BRL
21,120.50,USD
22,3300.00,BRL
23,870.90,BRL
24,410.30,USD
25,250.00,BRL
26,1800.00,BRL
27,75.99,USD
28,920.40,BRL
29,150.60,USD
30,700.00,BRL
31,3450.00,BRL
32,88.88,USD
33,1200.00,BRL
34,530.75,BRL
35,410.10,USD
36,2150.00,BRL
37,640.00,BRL
38,95.50,USD
39,780.80,BRL
40,150.00,USD
41,990.00,BRL
42,450.45,BRL
43,60.00,USD
44,3000.00,BRL
45,875.20,BRL
46,140.99,USD
47,670.00,BRL
48,220.10,USD
49,1950.00,BRL
50,510.50,BRL
